,Time,Average Demand,Peak,Off Peak
1,2020-12-18 01:00:00,1217.5,0.0,1217.5
1,2020-09-07 01:00:00,1659.5,0.0,1659.5
1,2020-11-05 01:00:00,1682.5,0.0,1682.5
1,2020-12-14 01:00:00,1080.0,0.0,1080.0
1,2020-10-26 01:00:00,1536.5,0.0,1536.5
1,2020-06-30 01:00:00,957.0,0.0,957.0
1,2020-01-11 01:00:00,1445.0,0.0,1445.0
1,2020-11-04 01:00:00,1649.5,0.0,1649.5
1,2020-11-03 01:00:00,1543.5,0.0,1543.5
1,2020-09-03 01:00:00,1876.5,0.0,1876.5
1,2020-12-16 01:00:00,1087.0,0.0,1087.0
1,2020-06-04 01:00:00,1129.0,0.0,1129.0
1,2020-03-05 01:00:00,1385.5,0.0,1385.5
1,2020-03-04 01:00:00,1296.5,0.0,1296.5
1,2020-10-25 01:00:00,1670.5,0.0,1670.5
1,2020-10-01 01:00:00,1828.5,0.0,1828.5
1,2020-09-02 01:00:00,1828.5,0.0,1828.5
1,2020-03-03 01:00:00,1300.5,0.0,1300.5
1,2020-09-04 01:00:00,1873.0,0.0,1873.0
1,2020-11-02 01:00:00,1550.5,0.0,1550.5
1,2020-06-02 01:00:00,921.0,0.0,921.0
1,2020-05-05 01:00:00,1005.5,0.0,1005.5
1,2020-10-02 01:00:00,1817.5,0.0,1817.5
1,2020-05-03 01:00:00,1108.0,0.0,1108.0
1,2020-01-07 01:00:00,1296.0,0.0,1296.0
1,2020-02-06 01:00:00,1229.5,0.0,1229.5
1,2020-02-04 01:00:00,1363.5,0.0,1363.5
1,2020-09-05 01:00:00,1699.5,0.0,1699.5
1,2020-02-24 01:00:00,1353.0,0.0,1353.0
1,2020-06-27 01:00:00,846.0,0.0,846.0
1,2020-03-07 01:00:00,1385.0,0.0,1385.0
1,2020-09-08 01:00:00,1763.0,0.0,1763.0
1,2020-10-27 01:00:00,1660.5,0.0,1660.5
1,2020-04-28 01:00:00,994.5,0.0,994.5
1,2020-07-28 01:00:00,1505.0,0.0,1505.0
1,2020-02-02 01:00:00,1296.0,0.0,1296.0
1,2020-06-28 01:00:00,821.5,0.0,821.5
1,2020-05-09 01:00:00,949.5,0.0,949.5
1,2020-09-11 01:00:00,1746.5,0.0,1746.5
1,2020-02-09 01:00:00,1257.5,0.0,1257.5
1,2020-01-09 01:00:00,1282.5,0.0,1282.5
1,2020-12-20 01:00:00,1129.0,0.0,1129.0
1,2020-01-30 01:00:00,1338.5,0.0,1338.5
1,2020-02-28 01:00:00,1335.0,0.0,1335.0
1,2020-03-09 01:00:00,1387.0,0.0,1387.0
1,2020-04-27 01:00:00,975.5,0.0,975.5
1,2020-06-08 01:00:00,1031.0,0.0,1031.0
1,2020-04-03 01:00:00,1020.5,0.0,1020.5
1,2020-10-19 01:00:00,1770.0,0.0,1770.0
1,2020-09-12 01:00:00,1628.0,0.0,1628.0
1,2020-07-27 01:00:00,1473.5,0.0,1473.5
1,2020-05-10 01:00:00,920.0,0.0,920.0
1,2020-11-07 01:00:00,1825.0,0.0,1825.0
1,2020-04-30 01:00:00,1111.5,0.0,1111.5
1,2020-05-08 01:00:00,1033.5,0.0,1033.5
1,2020-10-23 01:00:00,1791.0,0.0,1791.0
